location,has_owner,owner,raw_material,is_coastal,has_river,river_size_1,river_size_2,river_size_3,river_size_4,river_size_5,adjacent_to_lake,development,population,pop_burghers,pop_clergy,pop_laborers,pop_nobles,pop_peasants,pop_slaves,pop_soldiers,pop_tribesmen,main_rgo_max_level,topography,vegetation,climate,location_rank,river,max_level_RGO_building_alum,level_RGO_building_alum,max_level_RGO_building_amber,level_RGO_building_amber,max_level_RGO_building_bad_sand,level_RGO_building_bad_sand,max_level_RGO_building_beeswax,level_RGO_building_beeswax,max_level_RGO_building_chili,level_RGO_building_chili,max_level_RGO_building_clay,level_RGO_building_clay,max_level_RGO_building_cloves,level_RGO_building_cloves,max_level_RGO_building_coal,level_RGO_building_coal,max_level_RGO_building_cocoa,level_RGO_building_cocoa,max_level_RGO_building_coffee,level_RGO_building_coffee,max_level_RGO_building_copper,level_RGO_building_copper,max_level_RGO_building_cotton,level_RGO_building_cotton,max_level_RGO_building_dyes,level_RGO_building_dyes,max_level_RGO_building_elephants,level_RGO_building_elephants,max_level_RGO_building_fiber_crops,level_RGO_building_fiber_crops,max_level_RGO_building_fish,level_RGO_building_fish,max_level_RGO_building_fruit,level_RGO_building_fruit,max_level_RGO_building_fur,level_RGO_building_fur,max_level_RGO_building_gems,level_RGO_building_gems,max_level_RGO_building_goods_gold,level_RGO_building_goods_gold,max_level_RGO_building_horses,level_RGO_building_horses,max_level_RGO_building_incense,level_RGO_building_incense,max_level_RGO_building_iron,level_RGO_building_iron,max_level_RGO_building_ivory,level_RGO_building_ivory,max_level_RGO_building_lead,level_RGO_building_lead,max_level_RGO_building_legumes,level_RGO_building_legumes,max_level_RGO_building_livestock,level_RGO_building_livestock,max_level_RGO_building_lumber,level_RGO_building_lumber,max_level_RGO_building_marble,level_RGO_building_marble,max_level_RGO_building_medicaments,level_RGO_building_medicaments,max_level_RGO_building_mercury,level_RGO_building_mercury,max_level_RGO_building_olives,level_RGO_building_olives,max_level_RGO_building_pearls,level_RGO_building_pearls,max_level_RGO_building_pepper,level_RGO_building_pepper,max_level_RGO_building_saffron,level_RGO_building_saffron,max_level_RGO_building_salt,level_RGO_building_salt,max_level_RGO_building_saltpeter,level_RGO_building_saltpeter,max_level_RGO_building_sand,level_RGO_building_sand,max_level_RGO_building_silk,level_RGO_building_silk,max_level_RGO_building_silver,level_RGO_building_silver,max_level_RGO_building_stone,level_RGO_building_stone,max_level_RGO_building_sugar,level_RGO_building_sugar,max_level_RGO_building_tea,level_RGO_building_tea,max_level_RGO_building_tin,level_RGO_building_tin,max_level_RGO_building_tobacco,level_RGO_building_tobacco,max_level_RGO_building_wheat,level_RGO_building_wheat,max_level_RGO_building_wild_game,level_RGO_building_wild_game,max_level_RGO_building_wine,level_RGO_building_wine,max_level_RGO_building_wool,level_RGO_building_wool,max_level_apothecary,level_apothecary,max_level_bog_iron_smelter,level_bog_iron_smelter,max_level_brewery,level_brewery,max_level_charcoal_maker,level_charcoal_maker,max_level_clay_pit,level_clay_pit,max_level_cloth_guild,level_cloth_guild,max_level_distillers_guild,level_distillers_guild,max_level_dyes_guild,level_dyes_guild,max_level_elephant_hunting_grounds,level_elephant_hunting_grounds,max_level_farming_village,level_farming_village,max_level_fiber_crops_farm,level_fiber_crops_farm,max_level_fine_cloth_guild,level_fine_cloth_guild,max_level_fishing_village,level_fishing_village,max_level_forest_village,level_forest_village,max_level_fruit_orchard,level_fruit_orchard,max_level_furniture_guild,level_furniture_guild,max_level_glass_guild,level_glass_guild,max_level_hand_cannon_guild,level_hand_cannon_guild,max_level_horse_breeders,level_horse_breeders,max_level_jewelry_guild,level_jewelry_guild,max_level_lacquerware_guild,level_lacquerware_guild,max_level_lumber_mill,level_lumber_mill,max_level_market_village,level_market_village,max_level_marketplace,level_marketplace,max_level_mason,level_mason,max_level_naval_supplies_guild,level_naval_supplies_guild,max_level_paper_guild,level_paper_guild,max_level_porcelain_guild,level_porcelain_guild,max_level_pottery_guild,level_pottery_guild,max_level_provisions_market,level_provisions_market,max_level_rural_clothmaker,level_rural_clothmaker,max_level_rural_glassmaker,level_rural_glassmaker,max_level_salt_collector,level_salt_collector,max_level_sand_pit,level_sand_pit,max_level_scriptorium,level_scriptorium,max_level_sheep_farms,level_sheep_farms,max_level_stone_quarry,level_stone_quarry,max_level_tannery,level_tannery,max_level_tar_kiln,level_tar_kiln,max_level_tools_guild,level_tools_guild,max_level_victualling_house,level_victualling_house,max_level_weapon_guild,level_weapon_guild,max_level_winery,level_winery,max_level_local_smelters,level_local_smelters,max_level_saltpeter_guild,level_saltpeter_guild,max_level_sawmill,level_sawmill,max_level_windmill,level_windmill
oppunda,yes,SWE,lumber,0,0,0,0,0,0,0,1,7,7.92046,0,0.03959,0,0.01979,7.86108,0,0,0,4.61584,wetlands,woods,hemiboreal_climate,rural_settlement,none,,,,,1.4467,,,,,,1.4467,,,,,,,,,,,,,,,,,,,,1.4467,,,,,,,,,,,,,,,,,,,,,,,,4.61584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4467,,,,,,,,1.97432,,,,2.09602,,,,,,,,,,,,,,,,,,,,2.09602,,,,,,,,,,,,,,,,,,2.09602,,,,2.09602,,,,,,,,,,2.09602,,2.09602,,2.09602,,,,,,,,,,,,,,2.09602,,,,,,,,,,,,,,,,,
sodertalje,yes,SWE,clay,1,1,1,0,0,0,0,1,15,9.80675,0,0.04902,0,0.0245,9.73323,0,0,0,6.78802,flatland,grasslands,hemiboreal_climate,rural_settlement,1,,,,,2.1275,,2.1275,,,,6.78802,,,,,,,,,,,,,,,,,,,,1,,2.1275,,,,,,,,,,,,,,,,,,,,2.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1275,,,,,,2.1275,,,,2,,,,,,,,,,,,,,,,,,2.1275,,,,3.99033,,,,,,,,,,,,,,,,,,,,3.99033,,,,2.99033,,,,,,,,,,2.99033,,2.99033,,2.99033,,3.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arboga,yes,SWE,lumber,0,1,1,0,0,0,0,1,13,5.82516,0,0.02912,0.75092,0.01455,5.03057,0,0,0,6.29268,flatland,woods,hemiboreal_climate,rural_settlement,1,,,,,1.97225,,1.97225,,,,1.97225,,,,,,,,,,,,,,,,,,,,1,,1.97225,,,,,,,,,,,,,,,,,,,,,,6.29268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97225,,,,,,,,2,,,,3.59125,,,,,,,,,,,,,,,,,,,,3.59125,,,,,,,,,,,,,,,,,,3.59125,,,,2.59125,,,,,,,,,,2.59125,,2.59125,,2.59125,,,,,,,,,,,,,,3.59125,3,,,,,,,,,,,,,,,,
vasteras,yes,SWE,lumber,0,0,0,0,0,0,0,1,12,7.77937,0,0.04667,0.7509,0.02722,6.95458,0,0,0,6.01908,flatland,woods,hemiboreal_climate,rural_settlement,none,,,,,1.8865,,1.8865,,,,1.8865,,,,,,,,,,,,,,,,,,,,1.8865,,1.8865,,,,,,,,,,,,,,,,,,,,,,6.01908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8865,,,,,,,,2,,,,2.58896,,,,,,,,,,,,,,,,,,,,2.58896,,,,,,,,,,,,,,,,,,2.58896,,,,2.58896,,,,,,,,,,2.58896,,2.58896,,2.58896,,,,,,,,,,,,,,2.58896,3,,,,,,,,,,,,,,,,
nora,yes,SWE,iron,0,0,0,0,0,0,0,0,11,4.00778,0,0.02003,0,0.01001,3.94788,0,0,0.02986,8.03702,flatland,forest,hemiboreal_climate,rural_settlement,none,,,,,1.7871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03702,,,,,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,2.30038,,,,,,,,,,,,,,,,,,,,2.30038,,,,,,,,,,,,,,,,,,2.30038,,,,2.30038,,,,,,,,,,2.30038,,2.30038,,2.30038,,,,,,,,,,,,,,2.30038,,,,,,,,,,1,,,,,,,
sala,yes,SWE,lumber,0,1,0,0,1,0,0,0,14,5.9183,0,0.02958,0,0.01478,5.87394,0,0,0,6.5165,flatland,woods,hemiboreal_climate,rural_settlement,3,,,,,2.0424,,2.0424,,,,2.0424,,,,,,,,,,,,,,,,,,,,1,,2.0424,,,,,,,,,,,,,,,,,,,,,,6.5165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0424,,,,,,,,,,,,3.69591,,,,,,,,,,,,,,,,,,,,3.69591,,,,,,,,,,,,,,,,,,3.69591,,,,2.69591,,,,,,,,,,2.69591,,2.69591,,2.69591,,,,,,,,,,,,,,3.69591,,,,,,,,,,,,,,,,,
skinskatteberg,yes,SWE,iron,0,1,1,0,0,0,0,0,12,3.98091,0,0.0199,0,0.00995,3.73528,0,0,0.21578,8.47145,flatland,forest,boreal_climate,rural_settlement,1,,,,,1.8722,,,,,,1.8722,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,8.47145,,,,,,,,,,1.8722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8722,,,,,,,,,,,,3.39904,,,,,,,,,,,,,,,,,,,,3.39904,,,,,,,,,,,,,,,,,,3.39904,,,,2.39904,,,,,,,,,,2.39904,,2.39904,,2.39904,,,,,,,,,,,,,,3.39904,,,,,,,,,,1,,,,,,,
linde,yes,SWE,copper,0,0,0,0,0,0,0,0,11,2.00742,0,0.01003,0,0.00501,1.38015,0,0,0.61223,8.03702,flatland,forest,boreal_climate,rural_settlement,none,,,,,1.7871,,,,,,,,,,,,,,,,8.03702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,2.20037,,,,,,,,,,,,,,,,,,,,2.20037,,,,,,,,,,,,,,,,,,2.20037,,,,2.20037,,,,,,,,,,2.20037,,2.20037,,2.20037,,,,,,,,,,,,,,2.20037,,,,,,,,,,1,,,,,,,
grythyttan,yes,SWE,iron,0,0,0,0,0,0,0,0,11,2.02744,0,0.01013,0,0.00506,1.89462,0,0,0.11763,8.03702,flatland,forest,boreal_climate,rural_settlement,none,,,,,1.7871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03702,,,,,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,2.20137,,,,,,,,,,,,,,,,,,,,2.20137,,,,,,,,,,,,,,,,,,2.20137,,,,2.20137,,,,,,,,,,2.20137,,2.20137,,2.20137,,,,,,,,,,,,,,2.20137,,,,,,,,,,1,,,,,,,
orebro,yes,SWE,livestock,0,0,0,0,0,0,0,1,12,5.8001,0,0.02899,0,0.01449,5.75662,0,0,0,5.97346,flatland,woods,hemiboreal_climate,rural_settlement,none,,,,,1.8722,,1.8722,,,,1.8722,,,,,,,,,,,,,,,,,,,,1.8722,,1.8722,,,,,,,,,,,,,,,,,,,,5.97346,,1.8722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8722,,,,,,,,2,,,,2.49,,,,,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,,2.49,,,,2.49,,,,,,,,,,2.49,,2.49,,2.49,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,
riseberga,yes,SWE,lumber,0,0,0,0,0,0,0,1,11,5.1932,0,0.12598,0.75017,0.01298,4.30407,0,0,0,5.7455,flatland,forest,hemiboreal_climate,rural_settlement,none,,,,,1.80075,,,,,,1.80075,,,,,,,,,,,,,,,,,,,,1.80075,,,,,,,,,,,,,,,,,,,,,,,,5.7455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80075,,,,,,,,2,,,,2.35966,,,,,,,,,,,,,,,,,,,,2.35966,,,,,,,,,,,,,,,,,,2.35966,,,,2.35966,,,,,,,,,,2.35966,,2.35966,,2.35966,,,,,,,,,,,,,,2.35966,3,,,,,,,,,,,,,,,,
goksholm,yes,SWE,medicaments,0,0,0,0,0,0,0,1,12,7.85146,0,0.0471,0,0.02747,7.77689,0,0,0,5.97346,flatland,woods,hemiboreal_climate,rural_settlement,none,,,,,1.8722,,1.8722,,,,1.8722,,,,,,,,,,,,,,,,,,,,1.8722,,1.8722,,,,,,,,,,,,,,,,,,,,,,1.8722,,,,5.97346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8722,,,,,,,,2,,,,2.59257,,,,,,,,,,,,,,,,,,,,2.59257,,,,,,,,,,,,,,,,,,2.59257,,,,2.59257,,,,,,,,,,2.59257,,2.59257,,2.59257,,,,,,,,,,,,,,2.59257,,,,,,,,,,,,,,,,,
varnum,yes,SWE,lumber,0,0,0,0,0,0,0,1,11,2.96361,0,0.01481,0,0.0074,2.9414,0,0,0,5.70195,flatland,forest,hemiboreal_climate,rural_settlement,none,,,,,1.7871,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,,,,,5.70195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,2,,,,2.24818,,,,,,,,,,,,,,,,,,,,2.24818,,,,,,,,,,,,,,,,,,2.24818,,,,2.24818,,,,,,,,,,2.24818,,2.24818,,2.24818,,,,,,,,,,,,,,2.24818,,,,,,,,,,,,,,,,,
tingvalla,yes,SWE,wild_game,0,1,1,0,0,0,0,1,12,2.96362,0,0.01481,0,0.0074,2.94141,0,0,0,5.97346,flatland,forest,hemiboreal_climate,rural_settlement,1,,,,,1.8722,,,,,,1.8722,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1.8722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97346,,,,,,,,2,,,,3.34818,,,,,,,,,,,,,,,,,,,,3.34818,,,,,,,,,,,,,,,,,,3.34818,,,,2.34818,,,,,,,,,,2.34818,,2.34818,,2.34818,,,,,,,,,,,,,,3.34818,,,,,,,,,,,,,,,,,
nas,yes,SWE,fish,0,0,0,0,0,0,0,1,11,3.01068,0,0.01806,0,0.01053,2.98209,0,0,0,5.70195,flatland,forest,hemiboreal_climate,rural_settlement,none,,,,,1.7871,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,5.70195,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,2,,,,2.25053,,,,,,,,,,,,,,,,,,,,2.25053,,,,,,,,,,,,,,,,,,2.25053,,,,2.25053,,,,,,,,,,2.25053,,2.25053,,2.25053,,,,,,,,,,,,,,2.25053,,,,,,,,,,,,,,,,,
nordmark,yes,SWE,beeswax,0,0,0,0,0,0,0,0,9,2.01049,0,0.01005,0,0.00502,1.99542,0,0,0,5.15889,plateau,forest,hemiboreal_climate,rural_settlement,none,,,,,1.6169,,5.15889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6169,,,,,,,,,,,,2.00052,,,,,,,,,,,,,,,,,,,,2.00052,,,,,,,,,,,,,,,,,,2.00052,,,,2.00052,,,,,,,,,,2.00052,,2.00052,,2.00052,,,,,,,,,,1.6169,,,,2.00052,,,,,,,,,,,,,,,,,
